,x,y,z
202,-42174.30380791222,1306.200078693279,-298.86168051487186
203,1711.8428837436622,1040.0865219195857,6620.936821556772
204,1711.8428837436622,1040.0865219195857,6620.936821556772
205,1213.2721655542857,-5414.054762961918,-4270.293463778228
206,6543.019520632138,-1914.204827480311,-1230.9823003353079
207,-10948.167439352617,15162.493832777227,-173.92101693509156
208,-10948.167439352617,15162.493832777227,-173.92101693509156
209,-1265.8671417104733,2732.965061720075,6469.140343241098
210,5739.057717120504,3027.2155697833687,3327.6646070019733
211,-3872.6277139311997,4408.026985930868,-3671.8026558514075
212,-3872.6277139311997,4408.026985930868,-3671.8026558514075
213,-19546.136863039075,-24242.322361419774,-3650.984785726578
214,-19546.136863039075,-24242.322361419774,-3650.984785726578
215,759.0438629024628,-1628.2233202925677,-7351.056834200346
216,-3126.3647598595244,6101.114326809323,-992.0377377842989
217,-2119.376357914072,3675.9191705447106,-5547.552223895346
218,-100.20198905589888,-3904.4904700249167,-6143.365963495666
219,-5624.955727666827,2353.801738281941,-3274.884128210413
220,-5624.955727666827,2353.801738281941,-3274.884128210413
221,-653.6385184825762,5410.323216131261,4404.956535892513
222,5272.704328149064,-16505.389189504287,-8158.705541370607
223,5272.704328149064,-16505.389189504287,-8158.705541370607
224,-735.7796688097178,-6870.387516989594,-481.6940574107639
225,-1562.4496045294372,6738.470108238975,-352.56958345963045
226,-1690.6363958330137,1620.1935178713213,-6662.872502722832
227,-4800.135646117952,1544.4989751839914,4958.041407615052
228,-4354.68800035042,2138.609740452097,-5204.261208789846
229,-1377.8755858881664,562.1856699304531,6969.940064011618
230,2108.393500237996,-5864.690277449472,-3011.607352983028
231,6838.463681056021,-510.43282132409377,-744.152418152722
232,6838.463681056021,-510.43282132409377,-744.152418152722
233,1559.0490921170456,-7010.060110985642,-602.1522343926506
234,-607.7022802225353,6376.119775388359,3163.7854065129222
235,-10967.285360747648,24898.116147275727,2757.684260175198
236,-10967.285360747648,24898.116147275727,2757.684260175198
237,2933.737270681378,-5286.97022776124,3858.567640965723
238,-32720.545765632975,26362.269036879545,691.1282981336761
239,-412.4516682673014,6693.781653996591,1782.1769574162515
240,18680.47885050911,-5611.201915589912,327.0898629750055
241,18680.47885050911,-5611.201915589912,327.0898629750055
242,-1737.183569758842,6399.867259687854,-2155.680268836118
243,-692.2589050626794,-6885.8519919601,260.27092551612367
244,-9184.869711529458,-15682.918275697952,645.4683214768745
245,-9184.869711529458,-15682.918275697952,645.4683214768745
246,-3025.9642899370333,464.2142745000642,-6394.544322681048
247,-3025.9642899370333,464.2142745000642,-6394.544322681048
248,-4140.096219954371,4982.648667165792,-2436.0893953836107
249,-4140.096219954371,4982.648667165792,-2436.0893953836107
250,-1513.9299987898698,6739.87740994292,2048.446131811287
251,-1998.905941636608,-5587.609256249629,-3828.3178269098476
252,-1479.490874449401,4816.2383510034015,4897.56230439643
253,2937.981726723849,2206.65343304432,6941.522692487844
254,-2308.4384012856426,-5597.173841383826,-5324.744111559635
255,-2308.4384012856426,-5597.173841383826,-5324.744111559635
256,-134.30446826834012,6882.243702466384,760.7963705151462
257,-134.30446826834012,6882.243702466384,760.7963705151462
258,-1982.001606572959,6914.379552322527,19.622076541975815
259,-1372.1365188642794,6444.61064158881,2930.3727198377032
260,3391.674956799427,-3612.8309248872497,5374.572641160674
261,4443.932718261235,-4048.1996368023483,3455.3150094464313
262,-1647.7682435774827,5098.323965356823,-4816.725404086889
263,4394.587484926545,325.76598029647846,5354.019288071612
264,1809.3238576091737,-6091.902060221521,-2259.307667794667
265,3059.867667532844,1231.3227413594243,6391.957729419843
266,6614.1178121499015,1061.5980875455448,-1739.3167205863451
267,3059.867667532844,1231.3227413594243,6391.957729419843
268,-1601.5888076569977,2346.332981890397,-6750.685000252318
269,32393.911047299604,-1170.8475465878735,-12080.916542323992
270,-2653.9436367357093,6205.221615316658,-1529.4335159421098
271,-2149.643174660499,-6415.681839631342,1469.3521353064446
272,37610.148299978886,-13599.242897227401,1086.854946331041
273,-12236.892568264519,6064.6325585819795,15334.94807440441
274,4705.521516775949,-2511.3191053225405,5136.738872192901
275,-7.002118620887874,-2457.060433542017,6690.4671503568115
276,4734.496109827868,-5193.725314575057,9.132530357136787
277,-6236.778761088009,2707.944266773681,-1287.3920826416868
278,-3079.2079526182424,6046.456657020792,-1356.7098132634176
279,-6236.778761088009,2707.944266773681,-1287.3920826416868
280,-1704.9223685174286,6485.402391026145,1723.8164191140609
281,-1704.9223685174286,6485.402391026145,1723.8164191140609
282,4587.180152402698,-5487.756909509589,-498.625717674821
283,42365.046676454374,2183.1354862752964,-2254.067473683916
284,40990.67966835291,9719.107062822648,-416.5915141369509
285,42365.046676454374,2183.1354862752964,-2254.067473683916
286,4197.947938534844,-1019.2444607332004,-5506.456229107864
287,-6735.298150140876,1180.2220078400037,-1062.776620661485
288,-4452.040672578751,5165.96713576352,-1169.614361304205
289,-6735.298150140876,1180.2220078400037,-1062.776620661485
290,-4452.040672578751,5165.96713576352,-1169.614361304205
291,-2354.6843740060863,-6424.222020112835,-1033.1194267047824
292,3855.656272973041,-2911.68563238269,5197.388137860156
293,-3131.292284171435,4684.568962268367,-4150.762374006688
294,-5591.949574653769,4429.935422416059,-737.3974043846454
295,-5591.949574653769,4429.935422416059,-737.3974043846454
296,-148.88643376278796,2967.6835635573616,-6374.006221867469
297,827.1199295279733,999.2840129037324,7072.221656975136
298,827.1199295279733,999.2840129037324,7072.221656975136
299,-2437.8717832495495,-5059.476318948375,-6283.330314586518
300,1648.3370558423992,-426.92258119871263,-7029.510928080043
301,-765.2681190621437,-6831.084197588672,-795.529141708312
302,-2347.222657121763,6420.642214862368,2.8561360294081175
303,-2041.796175650157,-6270.033995053839,2107.601691817001
304,-157.2135790732218,6566.781178296089,2187.1009361925385
305,4974.993894918366,-1509.1653604381795,-4539.029152323791
306,4974.993894918366,-1509.1653604381795,-4539.029152323791
307,4535.046676480518,218.5688460273879,5253.032572059508
308,3700.7731616479955,-4062.5222890977375,4225.43108670101
309,6369.882499975723,-1566.0356133146697,2210.2724297472423
310,-1728.7748927044754,6289.44435032434,2318.1206370209175
311,-6472.401116802654,-1258.8398311236983,-2491.6439881602773
312,4064.000216836868,12.891978622056921,5708.019349943008
313,4064.000216836868,12.891978622056921,5708.019349943008
314,-1695.5018957163827,7392.3030097993815,1323.0214254312928
315,6815.084919880213,1175.2512811284628,-225.3084836966966
316,-6825.434473463685,1015.7638424605864,-494.3403633203837
317,-6825.434473463685,1015.7638424605864,-494.3403633203837
318,-1220.721995729018,-1366.1454811954377,6694.6328075794345
319,1978.9048255112436,-6427.145051122499,-2860.592658407295
320,6408.71093374141,-1125.7457023524669,2359.619721805564
321,-4397.281899395908,8424.945945886968,1518.6883343243226
322,-2084.598720820642,6104.0584215506315,2513.432426653839
323,-2084.598720820642,6104.0584215506315,2513.432426653839
324,-3075.409498505582,5653.727595579072,2548.948073442577
325,-3075.409498505582,5653.727595579072,2548.948073442577
326,6435.802118101539,-154.0639899770901,2543.2778021572217
327,3541.663834964899,-4802.899750277586,4531.260310408083
328,-4075.108001186179,4914.250998531478,-2931.3045079246212
329,-1673.3025378649675,6712.535316536994,-98.88027290264675
330,1931.2967920266785,6643.43784243779,-65.66802338166424
331,-2960.1343175562733,137.0034743602512,-6338.923378112714
332,-2960.1343175562733,137.0034743602512,-6338.923378112714
